SDP Name,Revenue,Qty,Products,City
AL KHIDMAT PHARMACY SERVICES,18495718.28,47889.0,34,Al Khidmat Pharmacy Services
HAQ ENTERPRISES,18287418.94846,2801.264,4,Haq Enterprises
JAMIL TRADERS,17883783.7,127226.0,102,Jamil Traders
CANCER CARE PHARMACY,17665980.0,570.0,5,Cancer Care Pharmacy
PAKISTAN MEDICAL SUPPLY CORP,17411865.0,425.0,5,Pakistan Medical Supply Corp
BURHAN TRADERS,16165955.0,448.0,6,Burhan Traders
S.K. DISTRIBUTOR-ISLAMABAD INST DIS,15964027.11,46528.0,108,S.K. Distributor-Islamabad Inst Dis
A.K. ENTERPRISES - MULTAN,15471508.530000001,2410.0,10,A.K. Enterprises - Multan
EHC (PRIVATE) LIMITED,14544690.46,46299.0,188,Ehc (Private) Limited
WAPDA HOSPITAL COMPLEX LAHORE,14526818.0,203040.0,14,Wapda Hospital Complex Lahore
ZAIDI TRADERS,12976325.0,451.0,3,Zaidi Traders
EASA BUSINESS GROUP,12893575.74,17649.0,11,Easa Business Group
TFMF PHARMA DISTRIBUTOR,12734382.93,83920.0,89,Tfmf Pharma Distributor
JADE E SERVICES PAKISTAN (PVT) LTD,12198742.51,6029.0,44,Jade E Services Pakistan (Pvt) Ltd
JINDANI TRADERS,12166639.93,85193.0,104,Jindani Traders
PATIENT'S CARE,11937036.91,10466.0,78,Patient'S Care
Wazirabad institute of Cardiology,11714280.0,3000.0,1,Wazirabad Institute Of Cardiology
P.E.S.S.I LAHORE,11589632.62,74970.0,18,P.E.S.S.I Lahore
FAISAL PHARMA,11528263.94,82947.28,60,Faisal Pharma
REMEDIAL ENTERPRISES,11420247.47,38262.0,121,Remedial Enterprises
BIOTECH TECHNOLOGIES - KARACHI,10570029.209999999,3449.0,14,Biotech Technologies - Karachi
CROWN PHARMACEUTICALS (PVT) LTD,10509700.0,300.0,5,Crown Pharmaceuticals (Pvt) Ltd
NOOR ENTERPRISES LAHORE,10394095.0,276.0,3,Noor Enterprises Lahore
ONCOLINK PHARMA DISTRIBUTORS,9717090.0,285.0,3,Oncolink Pharma Distributors
PREMIER SALES PVT LTD-SHORKOT,9267097.46,24113.0,115,Shorkot
AL-HAMD DISTRIBUTORS,8795755.0,265.0,5,Al-Hamd Distributors
"LIAQUAT NATIONAL HOSPITAL, KARACHI",8606222.6,6955.0,5,"Liaquat National Hospital, Karachi"
CHIEF DISTRIBUTOR'S - ISLAMABAD,8595225.0,270.0,3,Chief Distributor'S - Islamabad
SAMI PHARMACEUTICAL (PVT) LTD.,8387788.2,790.0,10,Sami Pharmaceutical (Pvt) Ltd.
INACTIVE - BIO MAX FARMA - LAHORE,8272738.05,2831.0,13,Inactive - Bio Max Farma - Lahore
ALKHIDMAT HEALTH FOUNDATION,8220261.899999999,56850.0,4,Alkhidmat Health Foundation
PREMIER AGENCIES - KORANGI,7995593.74,11326.0,213,Premier Agencies - Korangi
AHMED BIN QASIM,7888463.17,38986.0,31,Ahmed Bin Qasim
HEALTH RESOURCES DISTRIBUTORS - RWP,7620425.38,1822.0,13,Health Resources Distributors - Rwp
SCITECH HEALTH (PVT) LTD.(QnE),7542357.13,14449.0,200,Scitech Health (Pvt) Ltd.(Qne)
NAJAM BROTHERS - QUETTA,7426991.87,2894.0,16,Najam Brothers - Quetta
IBS PHARMA DISTRIBUTORS-RAWALPINDI,7084400.0,240.0,3,Ibs Pharma Distributors-Rawalpindi
N.S. TRADERS,6904016.48,4469.0,5,N.S. Traders
MARTIN DOW LIMITED,6808980.0,412639.0,4,Martin Dow Limited
DNS ENTERPRISES,6778583.0,66861.0,7,Dns Enterprises
SCILIFE PHARMA (PVT.) LTD,6586656.0,394115.0,4,Scilife Pharma (Pvt.) Ltd
PHARMA SOLUTION,6545168.87,17538.0,76,Pharma Solution
HAFIZ MEDICINE COMPANY - SARGODHA,6433537.75,2904.0,12,Hafiz Medicine Company - Sargodha
NEW TAMEER ENTERPRISES,6204900.41,25793.0,95,New Tameer Enterprises
A Q TRADERS - RAWALPINDI,5608492.76,1923.0,7,A Q Traders - Rawalpindi
UTS ENTERPRISES,5452810.65,52940.0,42,Uts Enterprises
ORAH LIFE (PVT) LTD.,5159241.81,8580.0,204,Orah Life (Pvt) Ltd.
KHURRAM TRADERS - SIALKOT,5151128.46,1760.0,12,Khurram Traders - Sialkot
FAUJI FOUNDATION HOSP. RAWALPINDI,5082150.2,46278.0,23,Fauji Foundation Hosp. Rawalpindi
CIC HOLDINGS PLC,4932060.37,2383424.0,68,Cic Holdings Plc
PREMIER SALES PVT LTD-SHAKARGARH,4895436.8100000005,11808.0,119,Shakargarh
Syed Abdullah Shah Institute Sehwan,4570820.0,4200.0,2,Syed Abdullah Shah Institute Sehwan
CRITICARE PHARMACEUTICALS,4484917.75,103423.0,6,Criticare Pharmaceuticals
BAHRIA PHARMACY,4250975.53,9481.497,9,Bahria Pharmacy
KARACHI MEDICAL COMPANY,3783309.8400000003,30261.7,21,Karachi Medical Company
IBRAHIM & SONS - CHEMIST & DRUGGIST,3587675.0,90.0,2,Ibrahim & Sons - Chemist & Druggist
NABI QASIM INDUSTRIES (PVT) LTD,3468950.0,2339.0,4,Nabi Qasim Industries (Pvt) Ltd
AGLOW HEALTHCARE (PVT.) LTD.,3133486.93,19936.0,19,Aglow Healthcare (Pvt.) Ltd.
EXECUTIVE DIRECTOR P.I.M.H. LAHORE,2992770.14,117143.0,3,Executive Director P.I.M.H. Lahore
MS TRADERS,2982345.34,71521.0,82,Ms Traders
KER SOCIEDAD ANONIMA,2945447.66,2547127.0,82,Ker Sociedad Anonima
FAUJI FOUNDATION HOSP. LAHORE,2883253.91,32944.0,8,Fauji Foundation Hosp. Lahore
FAISALABAD INST.OF CARDIOLOGY,2671962.39054,7424.667,3,Faisalabad Inst.Of Cardiology
THREE M ENTERPRISES LAHORE,2639700.0,97.0,3,Three M Enterprises Lahore
ONCO PHARMA (PVT.) LTD.,2631164.0,94.0,5,Onco Pharma (Pvt.) Ltd.
Helix Pharma (Pvt.) Ltd.,2583513.25,2335.0,3,Helix Pharma (Pvt.) Ltd.
AL-KHAIR PHARMA - LAHORE,2577030.0,68.0,1,Al-Khair Pharma - Lahore
Peshawar Institute of Cardiology,2428441.8,20235.0,13,Peshawar Institute Of Cardiology
GOVT GEN HOSP (FSD TEACHING HOSP),2390303.37,23953.0,3,Govt Gen Hosp (Fsd Teaching Hosp)
SHIZA HOSPITAL SUPPLIERS,2193300.0,50.0,2,Shiza Hospital Suppliers
CEO DHA LAHORE,2171843.14,55324.0,3,Ceo Dha Lahore
AL RABIE SCIENTIFIC BUREAU,2126989.17,1835373.0,38,Al Rabie Scientific Bureau
CRITICARE PHARMACEUTICALS (PVT) LTD,2064690.75,22287.0,2,Criticare Pharmaceuticals (Pvt) Ltd
CEO DHA SHEIKHUPURA,1794922.8800000001,37774.0,3,Ceo Dha Sheikhupura
CEO DHA LODHRAN,1683982.81,43940.0,3,Ceo Dha Lodhran
CEO DHA KASUR,1545825.35,50767.0,2,Ceo Dha Kasur
"Allied Hospital, Faisalabad",1505398.4,18457.0,3,"Allied Hospital, Faisalabad"
CEO DHA JHELUM,1502618.1099999999,39266.0,3,Ceo Dha Jhelum
PRIME PHARMA COMPANY,1497900.7,794217.0,46,Prime Pharma Company
FATMIYAH HOSP. C/O REMEDIAL ENTERPR,1473927.78,3134.0,7,Fatmiyah Hosp. C/O Remedial Enterpr
CEO DHA TOBA TEK SINGH,1463782.12,37734.0,3,Ceo Dha Toba Tek Singh
HASSAAN DISTRIBUTION,1380518.6,15202.0,7,Hassaan Distribution
Services Gen. Hosp. Lahore,1354178.96,6191.0,2,Services Gen. Hosp. Lahore
CEO DHA BHAKKAR,1333274.95,33587.0,3,Ceo Dha Bhakkar
CEO DHA FAISALABAD,1183949.2,66517.0,3,Ceo Dha Faisalabad
CEO DHA RAJANPUR,1158963.8,21790.0,3,Ceo Dha Rajanpur
PUNJAB HEALTH FACILITIES MANAGEMENT,1153053.72,33306.0,2,Punjab Health Facilities Management
Q-MED PHARMA DIST. - RAWALPINDI,1096525.0,36.0,2,Q-Med Pharma Dist. - Rawalpindi
AZEEM ENTERPRISES,1083509.19,4138.0,27,Azeem Enterprises
CEO DHA MULTAN,1083144.92,25666.0,3,Ceo Dha Multan
CEO DHA MANDI BAHAUDDIN,1046677.23,29399.0,3,Ceo Dha Mandi Bahauddin
CEO DHA D.G.KHAN,1037781.4,26350.0,3,Ceo Dha D.G.Khan
CEO DHA BAHAWALNAGAR,954412.3999999999,22767.0,3,Ceo Dha Bahawalnagar
CEO DHA SAHIWAL,938727.46,20333.0,3,Ceo Dha Sahiwal
CEO DHA MUZAFFAR GARH,936401.6799999999,27233.0,3,Ceo Dha Muzaffar Garh
CEO DHA MIANWALI,907803.65,29833.0,2,Ceo Dha Mianwali
CEO DHA ATTOCK,887496.89,24385.0,3,Ceo Dha Attock
CHAUDHARY MEDICINE CENTER-TT SINGH,859425.2,440.0,4,Chaudhary Medicine Center-Tt Singh
CEO DHA OKARA,831657.0,28688.0,3,Ceo Dha Okara
CEO DHA KHUSHAB,803660.75,30980.0,3,Ceo Dha Khushab
WAPDA HOSPITAL PESHAWAR,793289.0,8014.0,16,Wapda Hospital Peshawar
CEO DHA JHANG,785442.79,31180.0,3,Ceo Dha Jhang
"Children Hospital, Faisalabad",760890.3200000001,4745.0,3,"Children Hospital, Faisalabad"
FREEZE PHARMA COMPANY,750118.43,358955.0,36,Freeze Pharma Company
CEO DHA SIALKOT,738612.0,20700.0,2,Ceo Dha Sialkot
SOMH FF KARACHI,726690.3,7159.0,10,Somh Ff Karachi
CEO DHA BAHAWALPUR,701678.14,15671.0,3,Ceo Dha Bahawalpur
DHQ HOSPITAL (ALLIED-II HOSPITAL),655477.2,12321.0,2,Dhq Hospital (Allied-Ii Hospital)
GETZ PHARMA,642650.0,100.0,2,Getz Pharma
CEO DHA SARGODHA,636748.35,17067.0,2,Ceo Dha Sargodha
ITTEFAQ MEDICAL STORE-QUETTA,606375.0,16.0,1,Ittefaq Medical Store-Quetta
