Yr,Mo,ProductName,Revenue,Units,Discount,FiscalYear
2022,9,Erli Plus XR,8465270.090999987,24166.0,59944.308999999994,FY22-23
2022,9,Estar,25010278.04040001,98208.0,261728.2796,FY22-23
2022,9,Evo Joshanda,1324876.4761999992,5753.0,142138.52379999997,FY22-23
2022,9,EvoCheck,19627490.7494,11397.0,3506518.0306,FY22-23
2022,9,EvoCheck Go,3172118.0,2850.0,79722.0,FY22-23
2022,9,Evocheck M BGM,11352.0,7.0,0.0,FY22-23
2022,9,Evofix,3077349.7935,12493.0,250072.9565,FY22-23
2022,9,Evokalm,4239670.0635,22664.0,66718.9365,FY22-23
2022,9,Evokalm XR,757556.975,1920.0,8833.625,FY22-23
2022,9,Evopravir,28209.375,15.0,478.125,FY22-23
2022,9,Evopride,7243811.1975,21754.0,26136.802499999998,FY22-23
2022,9,Evopride Plus,16111682.665099984,63185.0,44237.5849,FY22-23
2022,9,Fasteso,1950487.4985999998,9367.0,20494.151400000002,FY22-23
2022,9,Femova,6965078.7753000045,9005.0,34957.9747,FY22-23
2022,9,Ferfer,8551470.17280002,18778.0,43032.6472,FY22-23
2022,9,Ferfer Gro,2837227.719600003,8181.0,15650.6004,FY22-23
2022,9,Galvecta,887552.4918999997,3580.0,4798.3081,FY22-23
2022,9,Galvecta Plus,7837809.430599978,22117.0,33389.0694,FY22-23
2022,9,Gouric,49752863.782000005,114966.0,352868.218,FY22-23
2022,9,HIFAZAT,7657.48,68.0,0.0,FY22-23
2022,9,IBANDRO,1586467.845,3588.0,14677.155,FY22-23
2022,9,Inosita,9512641.814000001,13529.0,111463.296,FY22-23
2022,9,Inosita Plus,80163718.88270035,137949.0,943033.2573,FY22-23
2022,9,Ivadin,1604817.34,6790.0,11202.66,FY22-23
2022,9,K-1000,7147086.330399993,16462.0,28699.4696,FY22-23
2022,9,Kalsob,12092422.87490001,26994.0,66214.6051,FY22-23
2022,9,Klevra,4828703.134999999,6574.0,62323.405,FY22-23
2022,9,Klevra XR,191517.75,423.0,2639.25,FY22-23
2022,9,LACTEUS 1,853436.2625,729.0,16442.9875,FY22-23
2022,9,LACTEUS 2,890224.1625,765.0,22612.0875,FY22-23
2022,9,LACTEUS AR,176468.07499999998,136.0,3425.925,FY22-23
2022,9,LACTEUS GROW 3,716179.104,660.0,71365.896,FY22-23
2022,9,LACTEUS MAMA,1378.25,1.0,0.0,FY22-23
2022,9,LIMITROL,765.0,6.0,0.0,FY22-23
2022,9,Lowplat,47403818.264500625,287809.0,383988.09549999994,FY22-23
2022,9,Lowplat Plus,63302186.491600215,358420.0,439790.6284,FY22-23
2022,9,MFIT,52482.36,43.0,0.0,FY22-23
2022,9,MYOPRO,264.32,1.0,0.0,FY22-23
2022,9,NEBULIZERS,312799.86600000004,58.0,97661.494,FY22-23
2022,9,Neo Q 10,2046224.4806000001,2349.0,9237.8794,FY22-23
2022,9,Nise,33471097.4675,263277.0,96720.0325,FY22-23
2022,9,Omron BPM,11872218.6475,1908.0,1947243.2925,FY22-23
2022,9,Omron BPM Wrist,145076.8442,26.0,22567.5158,FY22-23
2022,9,Omron ETB,357143.87940000003,377.0,48983.1406,FY22-23
2022,9,Omron Weigh Scale,383559.548,56.0,33389.331999999995,FY22-23
2022,9,Onita,6898018.6959999995,9007.0,68895.804,FY22-23
2022,9,Opt-D,14661220.001300052,94074.0,169574.22869999998,FY22-23
2022,9,Orslim,28767427.2,18948.0,223012.8,FY22-23
2022,9,Oxivort,1122305.065,3384.0,9384.935,FY22-23
2022,9,Paridopa,4384973.472,4553.0,31606.127999999997,FY22-23
2022,9,Phytus,2047372.8523,7331.0,133599.64770000003,FY22-23
2022,9,REKLAIM,663278.6631999998,1330.0,3423.7368,FY22-23
2022,9,Ramipace,24809578.658799984,61032.0,137239.7612,FY22-23
2022,9,Redexa,3812293.1375000016,7927.0,10791.8125,FY22-23
2022,9,Retzole,2314405.5,1821.0,7369.5,FY22-23
2022,9,Revolic,943201.4988000004,2717.0,4270.7412,FY22-23
2022,9,SPEDICAM,592908.3307000002,4681.0,1953.1493,FY22-23
2022,9,Sacvin,17300914.305199966,15435.0,124641.59479999999,FY22-23
2022,9,SheVit,3325533.2221999974,10803.0,10001.0578,FY22-23
2022,9,Supercran,1456651.3971000002,5017.0,1288.8029,FY22-23
2022,9,Tansin,3810121.0876000137,23133.0,20376.1024,FY22-23
2022,9,Telsarta,5332468.787700004,27192.0,28652.7423,FY22-23
2022,9,Telsarta-A,13520576.288999988,44974.0,59081.511,FY22-23
2022,9,Telsarta-D,4947829.361999992,13566.0,22681.638,FY22-23
2022,9,Thewril,2128160.295,7172.0,5509.705,FY22-23
2022,9,Treatan,7274077.775170011,31752.0,28857.02483,FY22-23
2022,9,Treatan-D,1493698.6249999995,2176.0,8176.575,FY22-23
2022,9,UFI,283792.815,704.0,1280.185,FY22-23
2022,9,UriTreat,1135294.0,1678.0,5746.0,FY22-23
2022,9,Voxamine,4420793.5600000005,14838.0,64588.44,FY22-23
2022,9,X-Plended,88083951.90909968,326824.0,794443.6509,FY22-23
2022,9,X-Plended EZ,1978922.0851,7857.0,5679.9299,FY22-23
2022,9,Xcept,24827491.360399954,61805.0,189849.73960000003,FY22-23
2022,9,Xilica,7791349.189999983,29696.0,48607.5,FY22-23
2022,9,Zibes,1940665.2075999996,19301.0,4888.7924,FY22-23
2022,9,Zilero,880815.9,1562.0,9338.1,FY22-23
2022,9,Zoltar,8696912.045899998,56124.0,4412262.414100001,FY22-23
2022,10,AXIFER,915600.865,1098.0,251024.135,FY22-23
2022,10,Actiflor,2558822.6864000005,7149.0,24539.9536,FY22-23
2022,10,Actnise,2334854.0953,9329.0,44040.9047,FY22-23
2022,10,Ad Folic,6532263.153099991,25849.0,40620.5669,FY22-23
2022,10,Ad Folic OD,11979814.45179999,28889.0,87987.5182,FY22-23
2022,10,Ad-D Chewable,467153.2314,2070.0,1807.1486,FY22-23
2022,10,Agoviz,2206671.3525,4161.0,21544.1475,FY22-23
2022,10,Aireez,844313.432,2341.0,3984.868,FY22-23
2022,10,Anex-M,524941.3,2384.0,1922.6999999999998,FY22-23
2022,10,Anplag,9414650.4742,8974.0,172315.9258,FY22-23
2022,10,Arbi,3995965.4925000076,14478.0,19280.5375,FY22-23
2022,10,Arbi-D,6787277.627900009,21991.0,30316.2221,FY22-23
2022,10,Avsar,67226980.07880113,209560.0,264183.9112,FY22-23
2022,10,Avsar Plus,20503856.997399982,66947.0,48078.7926,FY22-23
2022,10,Azliv,1655375.6375,10083.0,4206.8625,FY22-23
2022,10,BD PEN NEEDLE,1213313.795,127105.0,5236.585,FY22-23
2022,10,BD SYRINGE - BAG,47674622.397999965,2388467.0,1771203.5520000001,FY22-23
2022,10,Byvas,8411664.544200018,49872.0,34171.7758,FY22-23
2022,10,Dapwiz,3323922.45,14684.0,24516.55,FY22-23
2022,10,Dipof,1133002.4728000006,5884.0,7908.5972,FY22-23
2022,10,Diu Tansin,1509158.5911999976,9008.0,6707.6488,FY22-23
2022,10,Duzalta,8744070.983999997,24348.0,87400.11600000001,FY22-23
2022,10,EVOTIZER,217.95,1.0,0.0,FY22-23
2022,10,Eglaro,358987.538,1049.0,3486.462,FY22-23
2022,10,Eglaro-S,1430538.525,2887.0,5022.225,FY22-23
2022,10,Erli,6783936.49,21677.0,37016.01,FY22-23
2022,10,Erli Plus XR,8636432.90499999,24560.0,64467.994999999995,FY22-23
2022,10,Estar,25328563.11120001,99851.0,263606.0988,FY22-23
2022,10,Evo Joshanda,3291932.1867999956,13867.0,244152.81319999974,FY22-23
2022,10,EvoCheck,17567574.167,10049.0,2984116.5930000003,FY22-23
2022,10,EvoCheck Go,3869713.6,3513.0,134526.4,FY22-23
2022,10,Evofix,3220817.4555,13098.0,318994.7945,FY22-23
2022,10,Evokalm,4225521.6925,22746.0,77021.0575,FY22-23
2022,10,Evokalm XR,821055.817,2040.0,10244.182999999999,FY22-23
2022,10,Evopravir,100406.25,55.0,4781.25,FY22-23
2022,10,Evopride,11915600.313000001,34235.0,59518.437,FY22-23
2022,10,Evopride Plus,17746005.64059999,61194.0,57384.53940000001,FY22-23
2022,10,Fasteso,1784851.8872,8275.0,14810.6128,FY22-23
2022,10,Femova,6827920.100700007,8842.0,45408.5993,FY22-23
2022,10,Ferfer,7895509.397500018,17353.0,46785.1725,FY22-23
2022,10,Ferfer Gro,2772163.520700003,7989.0,13760.5593,FY22-23
2022,10,Galvecta,829096.0480999997,3340.0,3432.3519,FY22-23
2022,10,Galvecta Plus,7501334.453099983,21187.0,35063.8369,FY22-23
2022,10,Gouric,50949519.445,111328.0,355010.055,FY22-23
2022,10,HIFAZAT,3153.08,28.0,0.0,FY22-23
2022,10,IBANDRO,1674356.7825,3794.0,18715.7175,FY22-23
2022,10,Inosita,10913001.40550001,14937.0,136006.4745,FY22-23
2022,10,Inosita Plus,81098550.11520037,138808.0,985283.4848000002,FY22-23
2022,10,Ivadin,1500023.9,6345.0,10086.1,FY22-23
2022,10,K-1000,7143476.433999991,16481.0,40591.466,FY22-23
2022,10,Kalsob,12039023.30190001,26877.0,66915.0381,FY22-23
2022,10,Klevra,4773151.414399999,6368.0,41222.7656,FY22-23
2022,10,Klevra XR,222201.9,492.0,3626.1,FY22-23
2022,10,LACTEUS 1,110554.6125,96.0,3997.3875,FY22-23
2022,10,LACTEUS 2,371983.27770000004,434.0,145887.2223,FY22-23
2022,10,LACTEUS AR,23809.5,18.0,0.0,FY22-23
2022,10,LACTEUS GROW 3,714740.0445,685.0,102636.20550000001,FY22-23
