Material Name,2024.0,2025.0,Growth,Status
DIU TANSIN TAB.50/12.5MGCPRICINST120X10S,0.0,0.0,0.0,✅ Stable
DUZALTA CAP. 20MG (SLK) 14'S,0.0,1644.9499999999998,164494.99999999997,🚀 Growing
DUZALTA CAP. 20MG CP 2X7'S,48771274.91,60865456.79,24.797756265994654,🚀 Growing
DUZALTA CAP. 30MG (SLK) 14'S,0.0,2151.6600000000003,215166.00000000003,🚀 Growing
DUZALTA CAP. 30MG CP 2X7'S,77956355.83,94924661.33,21.766417015442475,🚀 Growing
DUZALTA CAP. 30MG CP SPC (SLK) 2X7'S,0.0,0.0,0.0,✅ Stable
DUZALTA CAP. 60MG (SLK) 10'S,0.0,3357.88,335788.0,🚀 Growing
DUZALTA CAP. 60MG CP 1X10'S,21269449.98,21815435.380000003,2.5669935071823713,✅ Stable
DUZALTA CAP. 60MG PS (SLK) 4'S,0.0,0.0,0.0,✅ Stable
EGLARO TAB. 15MG CP 2X7'S,2155155.16,1710918.55,-20.612743724679206,⚠️ Declining
EGLARO TAB. 5MG CP 2X7'S,1306559.28,1042188.85,-20.234093779503066,⚠️ Declining
EGLARO-S TAB. 15/100MG CP 2X7'S,46950468.52,81702125.45,74.01769998354001,🚀 Growing
EGLARO-S TAB. 5/100MG CP 2X7'S,16840950.03,25009551.31,48.50439711209093,🚀 Growing
EMGLIN TAB. 10MG CP (MLI) 2X7'S,0.0,0.0,0.0,✅ Stable
EMGLIN TAB. 10MG CP (SLK) 2X7'S,1511.84,0.0,-100.0,🔴 Critical
EMGLIN TAB. 10MG CP (SWL) 4X7'S,0.0,0.0,0.0,✅ Stable
EMGLIN TAB. 10MG CP (TJS) 14'S,0.0,235.44,23544.0,🚀 Growing
EMGLIN TAB. 10MG CP (TJS) 4X7'S,0.0,0.0,0.0,✅ Stable
EMGLIN TAB. 10MG PS (SLK) 4'S,0.0,0.0,0.0,✅ Stable
EMGLIN TAB. 25MG CP (GTM) 1X2'S,0.0,0.0,0.0,✅ Stable
EMGLIN TAB. 25MG CP (GTM) 28'S,0.0,0.0,0.0,✅ Stable
EMGLIN TAB. 25MG CP (MLI) 2X7'S,0.0,1550.13,155013.0,🚀 Growing
EMGLIN TAB. 25MG CP (SLK) 2X7'S,2017.4,0.0,-100.0,🔴 Critical
EMGLIN TAB. 25MG CP (SWL) 4X7'S,8229.17,0.0,-100.0,🔴 Critical
EMGLIN TAB. 25MG CP SPC (SLK) 2X7'S,0.0,0.0,0.0,✅ Stable
EMGLIN TAB. 25MG PS (SLK) 4'S,0.0,0.0,0.0,✅ Stable
EMPA Q TAB. 10MG CP (KEN) 20'S,0.0,0.0,0.0,✅ Stable
EMPA Q TAB. 25MG CP (KEN) 20'S,0.0,0.0,0.0,✅ Stable
EMPA-M TAB. 12.5/1000MG CP (KEN) 14'S,0.0,0.0,0.0,✅ Stable
EMPA-M TAB. 12.5/500MG CP (KEN) 14'S,0.0,20.4,2039.9999999999998,🚀 Growing
EMPAFLOZIN TAB. 10MG CP (SN) 4X7'S,1455.0,3300.0,126.8041237113402,🚀 Growing
EMPAFLOZIN TAB. 25MG CP (SN) 4X7'S,2548.0,2860.0,12.244897959183673,✅ Stable
ERLI PLUS TAB. 12.5/1000MG CP (IQ) 4X7'S,0.0,681.6,68160.0,🚀 Growing
ERLI PLUS TAB. 12.5/1000MG CP 2X7'S,13138187.76,24092339.509999998,83.37642869856504,🚀 Growing
ERLI PLUS TAB. 12.5/500MG CP 2X7'S,18928194.8,37964826.71,100.57288669704518,🚀 Growing
ERLI PLUS TAB. 12.5/850MG CP (IQ) 4X7'S,0.0,0.0,0.0,✅ Stable
ERLI PLUS TAB. 12.5/850MG CP 2X7'S,11696525.39,17942122.61,53.39703041502993,🚀 Growing
ERLI PLUS TAB. 5/1000MG CP (IQ) 4X7’S,0.0,0.0,0.0,✅ Stable
ERLI PLUS TAB. 5/1000MG CP 2X7'S,1325914.6300000001,2052333.36,54.78623687861411,🚀 Growing
ERLI PLUS TAB. 5/500MG CP 2X7'S,3574019.1,8874908.54,148.31732264665288,🚀 Growing
ERLI PLUS TAB. 5/850MG CP (IQ) 28'S,0.0,0.0,0.0,✅ Stable
ERLI PLUS TAB. 5/850MG CP 2X7'S,1002396.93,1765926.1099999999,76.17034301970575,🚀 Growing
ERLI PLUS XR TAB 25/1000MG CP (IQ) 4X7'S,0.0,0.0,0.0,✅ Stable
ERLI PLUS XR TAB. 10/1000MG CP 2X7'S,15809869.66,19302199.07,22.089552191792077,🚀 Growing
ERLI PLUS XR TAB. 12.5/1000MG CP (AFG),29.72,0.0,-100.0,🔴 Critical
ERLI PLUS XR TAB. 12.5/1000MG CP (GTM),0.0,0.0,0.0,✅ Stable
ERLI PLUS XR TAB. 12.5/1000MG CP 2X7'S,60575478.38,66405666.32,9.62466677262747,✅ Stable
ERLI PLUS XR TAB. 12.5/1000MG CP(GTM)2'S,0.0,0.0,0.0,✅ Stable
ERLI PLUS XR TAB. 25/1000MG CP (AFG),39234.8,0.0,-100.0,🔴 Critical
ERLI PLUS XR TAB. 25/1000MG CP 2X7'S,42084360.06,55849798.67,32.7091551121949,🚀 Growing
ERLI PLUS XR TAB. 5/1000MG CP 2X7'S,7647315.5600000005,8093953.989999999,5.840460309185917,✅ Stable
ERLI PLUS XR TAB.12.5/1000MG CP (IQ)4X7S,0.0,0.0,0.0,✅ Stable
ERLI TAB. 10MG CP (AFG) 2X7'S,0.0,0.0,0.0,✅ Stable
ERLI TAB. 10MG CP (IQ) 4X7’S,1197.3,0.0,-100.0,🔴 Critical
ERLI TAB. 10MG CP (KSV) 2X7'S,0.0,0.0,0.0,✅ Stable
ERLI TAB. 10MG CP 2X7'S,58184757.74,82692634.56,42.12078518830317,🚀 Growing
ERLI TAB. 25MG CP (AFG) 2X7'S,0.0,0.0,0.0,✅ Stable
ERLI TAB. 25MG CP (IQ) 4X7'S,0.0,0.0,0.0,✅ Stable
ERLI TAB. 25MG CP (KSV) 2X7'S,0.0,0.0,0.0,✅ Stable
ERLI TAB. 25MG CP 2X7'S,47005647.480000004,70036821.99,48.99661156630022,🚀 Growing
ERLINA PLUS XR TAB 5/2.5/1000MG CP 2X7'S,1436781.81,2964331.57,106.31744843707338,🚀 Growing
ERLINA PLUS XR TAB. 10/5/1000MG CP 2X7'S,3884074.36,14844292.950000001,282.1835416662827,🚀 Growing
ERLINA PLUS XR TAB. 12.5/2.5/1000MG CP,2182667.52,6283731.11,187.89227183808555,🚀 Growing
ERLINA PLUS XR TAB. 25/5/1000MG CP 2X7'S,3706685.13,20393736.55,450.18799371286235,🚀 Growing
ERLINA PLUS XR TAB25/5/1000MG CP(IQ)4X7,0.0,0.0,0.0,✅ Stable
ERLINA TAB. 10/5MG CP (IQ) 4X7’S,0.0,0.0,0.0,✅ Stable
ERLINA TAB. 10/5MG CP (SLK) 4X7'S,0.0,0.0,0.0,✅ Stable
ERLINA TAB. 10/5MG CP 2X7'S,49960685.64,66944344.93,33.99404766455483,🚀 Growing
ERLINA TAB. 25/5MG CP (IQ) 4X7’S,0.0,0.0,0.0,✅ Stable
ERLINA TAB. 25/5MG CP 2X7'S,60086243.31,103645798.63,72.49505530786027,🚀 Growing
ESTAR TAB. 10MG CP (AFG) 2X7'S,0.0,0.0,0.0,✅ Stable
ESTAR TAB. 10MG CP (CMB),0.0,0.0,0.0,✅ Stable
ESTAR TAB. 10MG CP (GTM) 2'S,0.0,0.0,0.0,✅ Stable
ESTAR TAB. 10MG CP (GTM) 28'S,0.0,0.0,0.0,✅ Stable
ESTAR TAB. 10MG CP (GTM) 98'S,3061.8,0.0,-100.0,🔴 Critical
ESTAR TAB. 10MG CP (IQ) 4X7'S,0.0,0.0,0.0,✅ Stable
ESTAR TAB. 10MG CP (KEN) 10'S,0.0,132.16000000000005,13216.000000000005,🚀 Growing
ESTAR TAB. 10MG CP (TJS) 14'S,0.0,0.0,0.0,✅ Stable
ESTAR TAB. 10MG CP 2X7'S,108442337.21000001,142018070.74,30.961831323295954,🚀 Growing
ESTAR TAB. 10MG DGH PUNJ. INST. GR 2X7'S,0.0,0.0,0.0,✅ Stable
ESTAR TAB. 10MG INST. PIMH GR. 2X7'S,0.0,0.0,0.0,✅ Stable
ESTAR TAB. 20MG CP (AFG) 2X7'S,86182.48000000001,76485.65000000001,-11.251509587563506,⚠️ Declining
ESTAR TAB. 20MG CP (GTM) 2'S,0.0,0.0,0.0,✅ Stable
ESTAR TAB. 20MG CP (GTM) 28'S,0.0,0.0,0.0,✅ Stable
ESTAR TAB. 20MG CP (IQ) 4X7'S,0.0,0.0,0.0,✅ Stable
ESTAR TAB. 20MG CP 2X7'S,32370866.59,44316037.63,36.90099246119689,🚀 Growing
ESTAR TAB. 5MG CP (AFG) 2X7'S,0.0,0.0,0.0,✅ Stable
ESTAR TAB. 5MG CP (CMB),0.0,0.0,0.0,✅ Stable
ESTAR TAB. 5MG CP 2X7'S,69946291.95,98685676.74,41.08778891459162,🚀 Growing
ESTOREX TAB. 10MG CP (AZN) 1X10'S,0.0,0.0,0.0,✅ Stable
EVO JOSHANDA SAC. CP 1X30'S,7142157.09,32698.16,-99.5421808903394,🔴 Critical
EVOCHECK BPM68 BLOOD PRESSURE MONITOR,0.0,0.0,0.0,✅ Stable
EVOCHECK GM700S BGM METER KIT,0.0,0.0,0.0,✅ Stable
EVOCHECK GM700S BGM TEST STRIPS 2X25'S,2081925.0,5471287.5,162.79945242984257,🚀 Growing
EVOCHECK GO BGM METER KIT,0.0,968400.0,96840000.0,🚀 Growing
EVOCHECK GO BGM TEST STRIP 2X25'S,644072.0,161018.0,-75.0,🔴 Critical
EVOCHECK GO TEST STRIP (FOIL PAC)1X50'S,0.0,0.0,0.0,✅ Stable
EVOCHECK INFRARED THERMOMETER,0.0,0.0,0.0,✅ Stable
EVOCHECK INFRARED THERMOMETER (MDI901),0.0,0.0,0.0,✅ Stable
EVOCHECK PREMIUM LINX CGM 1X1'S,0.0,0.0,0.0,✅ Stable
EVOCHECK PULSE OXIMETER,0.0,0.0,0.0,✅ Stable
EVOCHECK WEIGHING SCALE (BLACK),0.0,0.0,0.0,✅ Stable
EVOCHECK WEIGHING SCALE (WHITE),0.0,0.0,0.0,✅ Stable
EVOCIN TAB. 250MG CP 1X10'S,0.0,69160.0,6916000.0,🚀 Growing
EVOCIN TAB. 250MG CP 6X10'S,449540.0,269360.0,-40.08097165991903,🔴 Critical
EVOCIN TAB. 250MG PS,0.0,0.0,0.0,✅ Stable
EVOCIN TAB. 500MG CP 2X5'S,0.0,2920.0,292000.0,🚀 Growing
EVOCIN TAB. 500MG CP 60S,888394.0,0.0,-100.0,🔴 Critical
EVOCIN TAB. 500MG PS,0.0,0.0,0.0,✅ Stable
